date,vaccines,tests,confirmed,recovered,deaths,hosp,vent,icu,population,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,stringency_index,iso_alpha_3,iso_alpha_2,iso_numeric,currency,administrative_area_level,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,latitude,longitude,key,key_google_mobility,key_apple_mobility,key_numeric,key_alpha_2
2020/3/4,0,325,55,0,1,0,0,0,39512223,0,0,0,0,0,0,0,3,1,1,1,13.89,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/3/5,0,508,67,0,1,0,0,0,39512223,0,0,0,0,0,0,0,3,1,1,1,13.89,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/3/6,0,715,81,0,1,0,0,0,39512223,0,0,0,0,0,0,0,3,1,1,1,13.89,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/3/7,0,1206,100,0,1,0,0,0,39512223,1,0,1,0,0,0,0,3,1,1,1,23.15,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/3/8,0,1382,112,0,1,0,0,0,39512223,1,0,1,0,0,0,0,3,1,1,1,23.15,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/3/9,0,1581,172,0,2,0,0,0,39512223,1,0,1,0,0,0,0,3,1,1,1,23.15,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/3/10,0,2082,179,0,3,0,0,0,39512223,1,0,1,0,0,0,0,3,1,1,1,23.15,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/3/11,0,2731,202,0,4,0,0,0,39512223,1,0,2,2,0,1,0,3,1,1,1,37.96,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/3/12,0,4224,252,0,4,0,0,0,39512223,1,1,2,2,0,1,0,3,1,1,1,41.67,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/3/13,0,5404,320,0,5,0,0,0,39512223,2,1,2,2,0,1,0,3,1,1,1,43.52,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/3/14,0,7191,381,0,5,0,0,0,39512223,2,1,2,2,0,1,0,3,1,1,1,43.52,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/3/15,0,8773,478,0,6,0,0,0,39512223,2,1,2,2,0,1,0,3,1,1,1,43.52,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/3/16,0,10874,588,0,11,0,0,0,39512223,2,1,2,4,0,1,1,3,2,1,1,60.19,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/3/17,0,13162,732,0,14,0,0,0,39512223,3,3,2,4,0,2,1,3,2,1,1,73.15,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/3/18,0,16063,893,0,17,0,0,0,39512223,3,3,2,4,0,2,1,3,2,1,1,73.15,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/3/19,0,19497,1067,0,19,0,0,0,39512223,3,3,2,4,0,2,2,3,2,1,1,82.41,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/3/20,0,25598,1283,0,24,0,0,0,39512223,3,3,2,4,0,2,2,3,2,1,1,82.41,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/3/21,0,31435,1544,0,28,0,0,0,39512223,3,3,2,4,0,2,2,3,2,1,1,82.41,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/3/22,0,40234,1851,0,35,0,0,0,39512223,3,3,2,4,0,2,2,3,2,1,1,82.41,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
