date,da
2020/3/4,15.4
2020/3/5,18
2020/3/6,15.4
2020/3/7,12.6
2020/3/8,12.4
2020/3/9,14
2020/3/10,13.3
2020/3/11,15.8
2020/3/12,11.1
2020/3/13,10.3
2020/3/14,11
2020/3/15,11.7
2020/3/16,9.2
2020/3/17,9
2020/3/18,10.5
2020/3/19,10.9
2020/3/20,12.3
2020/3/21,13.4
2020/3/22,13.1
2020/3/23,12.2
2020/3/24,12.4
2020/3/25,12.1
2020/3/26,9.8
2020/3/27,11.7
2020/3/28,12.7
2020/3/29,13.4
2020/3/30,15.2
2020/3/31,18.5
2020/4/1,16.4
2020/4/2,15.4
2020/4/3,14.3
2020/4/4,13.8
2020/4/5,12.5
2020/4/6,11.1
2020/4/7,11
2020/4/8,10.3
2020/4/9,8.3
2020/4/10,10.6
2020/4/11,14.7
2020/4/12,12.2
2020/4/13,13
2020/4/14,17.8
2020/4/15,20.3
2020/4/16,16.1
2020/4/17,13.6
2020/4/18,13.3
2020/4/19,14.6
2020/4/20,14.4
2020/4/21,16.1
2020/4/22,22.3
2020/4/23,25.1
2020/4/24,27.9
2020/4/25,26.2
2020/4/26,23.3
2020/4/27,21.4
2020/4/28,21.1
2020/4/29,18.1
2020/4/30,18.6
2020/5/1,18.4
2020/5/2,18.2
2020/5/3,18.6
2020/5/4,22.3
2020/5/5,26.2
2020/5/6,27.3
2020/5/7,25.6
2020/5/8,22.4
2020/5/9,18.9
2020/5/10,17
2020/5/11,17.7
2020/5/12,16.1
2020/5/13,17.2
2020/5/14,19.4
2020/5/15,20.2
2020/5/16,20.3
2020/5/17,19.4
2020/5/18,16.6
2020/5/19,16.2
2020/5/20,17.4
2020/5/21,21.6
2020/5/22,18.1
2020/5/23,17.8
2020/5/24,19.4
2020/5/25,22.3
2020/5/26,22.5
2020/5/27,20.7
2020/5/28,18.3
2020/5/29,16.9
2020/5/30,17.9
2020/5/31,18.9
2020/6/1,22.9
2020/6/2,22.7
2020/6/3,24.8
2020/6/4,19.6
2020/6/5,16.8
2020/6/6,18.1
2020/6/7,19.7
2020/6/8,23.2
2020/6/9,27.8
2020/6/10,29.7
2020/6/11,25.4
2020/6/12,19.1
2020/6/13,19
2020/6/14,19.9
2020/6/15,20.1
2020/6/16,18.3
2020/6/17,19.6
2020/6/18,17.4
2020/6/19,18.2
2020/6/20,17.5
2020/6/21,19.1
2020/6/22,19.9
2020/6/23,19.6
2020/6/24,19.3
2020/6/25,19.1
2020/6/26,19.4
2020/6/27,19.3
2020/6/28,17.6
2020/6/29,18.9
2020/6/30,18.7
2020/7/1,18.4
2020/7/2,19.6
2020/7/3,24.3
2020/7/4,24.9
2020/7/5,25.4
2020/7/6,26.6
2020/7/7,23.1
2020/7/8,21.7
2020/7/9,21.8
2020/7/10,25.4
2020/7/11,28.8
2020/7/12,26.3
2020/7/13,23.4
2020/7/14,21
2020/7/15,20.2
2020/7/16,19.7
2020/7/17,20.4
2020/7/18,21.8
2020/7/19,21.7
2020/7/20,21.4
2020/7/21,20.4
2020/7/22,17.9
2020/7/23,18.7
2020/7/24,19
2020/7/25,20.2
2020/7/26,21.9
2020/7/27,20.4
2020/7/28,20.2
2020/7/29,21.4
2020/7/30,26
2020/7/31,29.1
2020/8/1,28.1
2020/8/2,24.7
2020/8/3,23.2
2020/8/4,20.1
2020/8/5,19.4
2020/8/6,20.1
2020/8/7,21
2020/8/8,21.7
2020/8/9,21.6
2020/8/10,21.6
2020/8/11,22.7
2020/8/12,25.2
2020/8/13,27.3
2020/8/14,30.7
2020/8/15,31.2
2020/8/16,27.8
2020/8/17,28
2020/8/18,29.1
2020/8/19,28.4
2020/8/20,27.3
2020/8/21,27.1
2020/8/22,28.1
2020/8/23,26.6
2020/8/24,24.2
2020/8/25,26.3
2020/8/26,26.8
2020/8/27,27.2
2020/8/28,23.2
2020/8/29,20
2020/8/30,19.6
2020/8/31,19
