Date,City,State,PercentOfBaseline
2020/3/16,Los Angeles,California,98
2020/3/16,South San Francisco,California,81
2020/3/17,Los Angeles,California,99
2020/3/17,South San Francisco,California,89
2020/3/18,Los Angeles,California,89
2020/3/18,South San Francisco,California,70
2020/3/19,Los Angeles,California,88
2020/3/19,South San Francisco,California,59
2020/3/20,Los Angeles,California,84
2020/3/20,South San Francisco,California,58
2020/3/21,Los Angeles,California,76
2020/3/21,South San Francisco,California,70
2020/3/22,Los Angeles,California,76
2020/3/22,South San Francisco,California,84
2020/3/23,Los Angeles,California,73
2020/3/23,South San Francisco,California,57
2020/3/24,Los Angeles,California,71
2020/3/24,South San Francisco,California,61
2020/3/25,Los Angeles,California,72
2020/3/25,South San Francisco,California,54
2020/3/26,Los Angeles,California,76
2020/3/26,South San Francisco,California,50
2020/3/27,Los Angeles,California,69
2020/3/27,South San Francisco,California,48
2020/3/28,Los Angeles,California,66
2020/3/28,South San Francisco,California,55
2020/3/29,Los Angeles,California,58
2020/3/29,South San Francisco,California,45
2020/3/30,Los Angeles,California,69
2020/3/30,South San Francisco,California,49
2020/3/31,Los Angeles,California,70
2020/3/31,South San Francisco,California,46
2020/4/1,Los Angeles,California,65
2020/4/1,South San Francisco,California,54
2020/4/2,Los Angeles,California,70
2020/4/2,South San Francisco,California,47
2020/4/3,Los Angeles,California,63
2020/4/3,South San Francisco,California,41
2020/4/4,Los Angeles,California,55
2020/4/4,South San Francisco,California,34
2020/4/5,Los Angeles,California,46
2020/4/5,South San Francisco,California,26
2020/4/6,Los Angeles,California,55
2020/4/6,South San Francisco,California,37
2020/4/7,Los Angeles,California,59
2020/4/7,South San Francisco,California,38
2020/4/8,Los Angeles,California,62
2020/4/8,South San Francisco,California,50
2020/4/9,Los Angeles,California,55
2020/4/9,South San Francisco,California,38
2020/4/10,Los Angeles,California,60
2020/4/10,South San Francisco,California,37
2020/4/11,Los Angeles,California,52
2020/4/11,South San Francisco,California,25
2020/4/12,Los Angeles,California,43
2020/4/12,South San Francisco,California,29
2020/4/13,Los Angeles,California,59
2020/4/13,South San Francisco,California,37
2020/4/14,Los Angeles,California,63
