,date,temp,humidity,icu,deaths,tests,confirmed,traffic_volume
0,2020/3/4,15.4,88.46296296,0,1,325,55,89.5
1,2020/3/5,18.0,90.74626866,0,1,508,67,94.0
2,2020/3/6,15.4,85.94444444,0,1,715,81,79.5
3,2020/3/7,12.6,83.25,0,1,1206,100,73.5
4,2020/3/8,12.4,76.0,0,1,1382,112,71.0
5,2020/3/9,14.0,75.95652174,0,2,1581,172,73.0
6,2020/3/10,13.3,81.39130435,0,3,2082,179,80.0
7,2020/3/11,15.8,90.65853659,0,4,2731,202,65.0
8,2020/3/12,11.1,84.55555556,0,4,4224,252,66.0
9,2020/3/13,10.3,83.26086957,0,5,5404,320,63.0
10,2020/3/14,11.0,79.60784314,0,5,7191,381,63.0
11,2020/3/15,11.7,80.2,0,6,8773,478,58.5
12,2020/3/16,9.2,73.26086957,0,11,10874,588,60.5
13,2020/3/17,9.0,77.30952381,0,14,13162,732,51.5
14,2020/3/18,10.5,84.62962963,0,17,16063,893,59.0
15,2020/3/19,10.9,84.46428571,0,19,19497,1067,58.0
16,2020/3/20,12.3,78.66666667,0,24,25598,1283,59.5
17,2020/3/21,13.4,84.10714286,0,28,31435,1544,58.5
18,2020/3/22,13.1,84.29032258,0,35,40234,1851,52.0
19,2020/3/23,12.2,78.82926829,0,39,46083,2240,44.5
20,2020/3/24,12.4,82.86,0,52,55865,2644,36.0
21,2020/3/25,12.1,80.53846154,0,68,65405,3183,46.0
22,2020/3/26,9.8,78.4,0,83,77321,4060,48.5
23,2020/3/27,11.7,77.16,0,104,90008,4915,56.0
24,2020/3/28,12.7,83.03703704,0,122,102526,5566,46.5
25,2020/3/29,13.4,79.1875,0,132,112993,6321,48.5
26,2020/3/30,15.2,87.4375,0,147,123022,7421,38.5
27,2020/3/31,18.5,88.83636364,0,184,134017,8583,36.0
28,2020/4/1,16.4,75.75,0,212,148288,9857,48.0
29,2020/4/2,15.4,76.38461538,0,247,163671,11190,55.0
30,2020/4/3,14.3,78.66666667,0,282,177810,12569,48.5
31,2020/4/4,13.8,84.28571429,0,323,189876,13796,48.5
32,2020/4/5,12.5,83.66666667,0,351,200144,15202,51.0
33,2020/4/6,11.1,82.41666667,0,386,208712,16361,45.0
34,2020/4/7,11.0,83.17142857,0,447,233527,17540,32.0
35,2020/4/8,10.3,83.44444444,0,506,247686,19043,52.5
36,2020/4/9,8.3,88.09756098,0,548,260850,20191,53.5
37,2020/4/10,10.6,86.66666667,0,594,275847,21366,50.5
38,2020/4/11,14.7,83.14814815,0,632,289047,22421,51.0
39,2020/4/12,12.2,79.73333333,0,676,299863,23323,51.5
40,2020/4/13,13.0,73.56521739,0,725,309013,24334,43.0
41,2020/4/14,17.8,69.60869565,0,778,331012,25758,35.0
42,2020/4/15,20.3,85.41176471,0,885,344970,27107,52.0
43,2020/4/16,16.1,90.09836066,0,971,361915,28142,56.0
44,2020/4/17,13.6,90.78181818,0,1050,378881,29398,52.5
45,2020/4/18,13.3,88.30769231,0,1146,395643,30829,57.0
46,2020/4/19,14.6,87.26666667,0,1176,411097,31544,52.5
47,2020/4/20,14.4,82.0,0,1223,423469,33862,44.0
48,2020/4/21,16.1,80.125,0,1316,442515,35844,36.0
49,2020/4/22,22.3,96.18965517,0,1425,464823,37573,50.0
50,2020/4/23,25.1,98.39473684,0,1548,486138,39534,55.0
51,2020/4/24,27.9,96.78846154,0,1619,511895,41368,55.0
52,2020/4/25,26.2,96.43661972,0,1692,536068,42590,54.5
53,2020/4/26,23.3,96.85,0,1716,550357,43691,58.5
54,2020/4/27,21.4,91.48717949,0,1800,567784,45208,47.0
55,2020/4/28,21.1,96.27027027,0,1884,595351,46570,38.5
56,2020/4/29,18.1,95.26865672,0,1961,621918,48904,53.5
57,2020/4/30,18.6,89.76470588,0,2057,655202,50470,57.5
58,2020/5/1,18.4,83.60606061,0,2147,691500,52318,56.5
59,2020/5/2,18.2,92.91071429,0,2213,722724,53753,56.0
60,2020/5/3,18.6,86.52,0,2235,748381,55072,62.0
